source_database,pmid,title,abstract,journal,year,publication_types,authors,doi,mesh_terms,url,source_databases_found,openalex_id,concepts,type,cited_by_count,dedupe_key,duplicate_group
PubMed,34916138,Insurance Churn and Postpartum Health among Texas Women with Births Covered by Medicaid/CHIP.,"Insurance churn (changes in coverage) after childbirth is common in the United States, particularly in states that have not expanded Medicaid coverage. Although insurance churn may have lasting consequences for health care access, most research has focused on the initial weeks after a birth.; We analyzed data from a cohort study of postpartum Texans with pregnancies covered by public insurance (n = 1,489). Women were recruited shortly after childbirth from eight hospitals in six cities, completing a baseline survey in the hospital and follow-up surveys at 3, 6, and 12 months. We assessed insurance trajectories, health care use, and health indicators over the 12 months after childbirth. We also conducted a content analysis of women's descriptions of postpartum health concerns.; A majority of participants (64%) became uninsured within 3 months of the birth and remained uninsured for the duration of the study; 88% were uninsured at some point in the year after the birth. At 3 months postpartum, 17% rated their health as fair or poor, and 13% reported a negative change in their health after the 3-month survey. Women's open-ended responses described financial hardships and other difficulties accessing care for postpartum health issues, which included acute and ongoing conditions, undiagnosed concerns, pregnancy and reproductive health, mental health, and weight/lifestyle concerns.; Insurance churn was common among postpartum women with births covered by Medicaid/CHIP and prevented many women from receiving health care. To improve postpartum health and reduce maternal mortality and morbidity, states should work to stabilize insurance coverage for women with low incomes.",Women's health issues : official publication of the Jacobs Institute of Women's Health,2022,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Elizabeth J Ela; Elsa Vizcarra; Lauren Thaxton; Kari White,10.1016/j.whi.2021.11.002,"Cohort Studies; Female; Health Services Accessibility; Humans; Insurance Coverage; Insurance, Health; Medicaid; Medically Uninsured; Postpartum Period; Pregnancy; Texas; United States",https://pubmed.ncbi.nlm.nih.gov/34916138/,,,,,,doi:10 1016 j whi 2021 11 002,18
OpenAlex,,Insurance Churn and Postpartum Health among Texas Women with Births Covered by Medicaid/CHIP,,Women s Health Issues,2021,,Elizabeth Ela; Elsa Vizcarra; Lauren Thaxton; Kari White,https://doi.org/10.1016/j.whi.2021.11.002,,https://openalex.org/W4200055714,,https://openalex.org/W4200055714,Childbirth; Medicaid; Medicine; Pregnancy; Postpartum period; Health care; Public health; Family medicine; Prenatal care; Demography; Cohort study; Environmental health; Obstetrics; Population; Nursing; Pathology; Economic growth; Biology; Genetics; Sociology; Economics,article,21,doi:10 1016 j whi 2021 11 002,18
PubMed,37424702,Interventions to Support Engagement in Addiction Care Postpartum: Principles and Pitfalls.,"There is a fundamental disconnect between the optimal management of addiction in general and care delivery in pregnancy and postpartum. Addiction is a chronic condition requiring some degree of management across the life course. Yet, in the US, reproductive care is episodic and centers more on pregnancy than at other stages of the reproductive life course. Pregnancy is prioritized in access to insurance as almost all pregnant people are Medicaid eligible but access ends at varying points postpartum. This results in a structural mismatch: the episodic management of the chronic condition of addiction only within gestational periods. Though people with substance use disorder (SUD) may access care in pregnancy, treatment attrition is common postpartum. Postpartum is a time of increased vulnerabilities where insurance churn and newborn caretaking responsibilities collide in a context of care withdrawal from the health system and health providers. In part in consequence, return to use, SUD recurrence, overdose, and overdose death are more common postpartum than in pregnancy, and drug deaths have become a leading cause of maternal deaths in the US. This review addresses interventions to support engagement in addiction care postpartum. We begin with a scoping review of model programs and evidence-informed interventions that have been shown to increase continuation of care postpartum. We then explore the realities of contemporary care through a review of clinical and ethical principles, with particular attention to harm reduction. We conclude with suggestions of strategies (clinical, research, and policy) to improve care postpartum and highlight potential pitfalls in the uptake of evidence-based and person-centered services.",Substance abuse and rehabilitation,2023,Journal Article; Review,Shayna Mazel; Karen Alexander; Camille Cioffi; Mishka Terplan,10.2147/SAR.S375652,,https://pubmed.ncbi.nlm.nih.gov/37424702/,,,,,,doi:10 2147 sar s375652,19
OpenAlex,,Interventions to Support Engagement in Addiction Care Postpartum: Principles and Pitfalls,"Abstract: There is a fundamental disconnect between the optimal management of addiction in general and care delivery in pregnancy and postpartum. Addiction is a chronic condition requiring some degree of management across the life course. Yet, in the US, reproductive care is episodic and centers more on pregnancy than at other stages of the reproductive life course. Pregnancy is prioritized in access to insurance as almost all pregnant people are Medicaid eligible but access ends at varying points postpartum. This results in a structural mismatch: the episodic management of the chronic condition of addiction only within gestational periods. Though people with substance use disorder (SUD) may access care in pregnancy, treatment attrition is common postpartum. Postpartum is a time of increased vulnerabilities where insurance churn and newborn caretaking responsibilities collide in a context of care withdrawal from the health system and health providers. In part in consequence, return to use, SUD recurrence, overdose, and overdose death are more common postpartum than in pregnancy, and drug deaths have become a leading cause of maternal deaths in the US. This review addresses interventions to support engagement in addiction care postpartum. We begin with a scoping review of model programs and evidence-informed interventions that have been shown to increase continuation of care postpartum. We then explore the realities of contemporary care through a review of clinical and ethical principles, with particular attention to harm reduction. We conclude with suggestions of strategies (clinical, research, and policy) to improve care postpartum and highlight potential pitfalls in the uptake of evidence-based and person-centered services. Keywords: pregnancy, substance use disorder, harm reduction, medication for OUD",Substance Abuse and Rehabilitation,2023,,Shayna Mazel; Karen Alexander; Camille C. Cioffi; Mishka Terplan,https://doi.org/10.2147/sar.s375652,,https://openalex.org/W4382927788,,https://openalex.org/W4382927788,Medicine; Psychological intervention; Addiction; Intensive care medicine; Nursing; Psychiatry,review,20,doi:10 2147 sar s375652,19
PubMed,29235189,Predictors of smoking cessation during pregnancy: a systematic review and meta-analysis.,"To identify factors found in the research literature to be associated with smoking cessation in pregnancy.; Electronic searches of the bibliographic databases of PubMed, EMBASE, PsycINFO, Elsevier, Scopus and ISI Web of Science were conducted to April 2017. All studies reporting factors associated with smoking cessation or continuing smoking during pregnancy were included and reviewed systematically, irrespective of study design. The Newcastle-Ottawa Quality Assessment Scale was used to assess the study quality. The DerSimonian & Laird random-effects model was used to conduct meta-analyses, and where effect estimates were reported for factors included in at least three studies.; Fifty-four studies, including 505 584 women globally who smoked before pregnancy, 15 clinical trials and 40 observational studies, were included in the review and 36 (65.5%) were considered to be of high quality. This review identified 11 socio-demographic, seven socially related, 19 smoking behaviour-related, five pregnancy-related, six health-related and six psychological factors that were associated significantly with smoking cessation during pregnancy. The most frequently observed significant factors associated with cessation were: higher level of education, pooled odds ratio (OR), 95% confidence interval (CI) = 2.16 (1.80-2.84), higher socio-economic status: 1.97 (1.20-3.24), overseas maternal birth: 2.00 (1.40-2.84), Medicaid coverage or private insurance: 1.54 (1.29-1.85), living with partner or married: 1.49 (1.38-1.61), partner/other members of the household do not smoke: 0.42 (0.35-0.50), lower heaviness of smoking index score: 0.45 (0.27-0.77, lower baseline cotinine level: 0.78 (0.64-0.94), low exposure to second-hand smoking: 0.45 (0.20-1.02), not consuming alcohol before and/or during pregnancy: 2.03 (1.47-2.80), primiparity: 1.85 (1.68-2.05), planned breastfeeding:1.99 (1.94-2.05), perceived adequate pre-natal care: 1.74 (1.38-2.19), no depression: 2.65 (1.62-4.30) and low stress during pregnancy: 0.58 (0.44-0.77).; A wide range of socio-demographics, relationship, social, smoking-related, pregnancy-related, health and psychological factors have been found to predict smoking cessation in pregnancy.","Addiction (Abingdon, England)",2018,Journal Article; Meta-Analysis; Systematic Review,Muhammad Riaz; Sarah Lewis; Felix Naughton; Michael Ussher,10.1111/add.14135,"Alcohol Drinking; Breast Feeding; Depression; Educational Status; Female; Humans; Insurance, Health; Marital Status; Medicaid; Parity; Pregnancy; Prenatal Care; Smoking Cessation; Social Class; Stress, Psychological; Tobacco Smoke Pollution; Tobacco Smoking; United States",https://pubmed.ncbi.nlm.nih.gov/29235189/,,,,,,doi:10 1111 add 14135,32
OpenAlex,,Predictors of smoking cessation during pregnancy: a systematic review and meta‐analysis,"AIM: To identify factors found in the research literature to be associated with smoking cessation in pregnancy. METHODS: Electronic searches of the bibliographic databases of PubMed, EMBASE, PsycINFO, Elsevier, Scopus and ISI Web of Science were conducted to April 2017. All studies reporting factors associated with smoking cessation or continuing smoking during pregnancy were included and reviewed systematically, irrespective of study design. The Newcastle-Ottawa Quality Assessment Scale was used to assess the study quality. The DerSimonian & Laird random-effects model was used to conduct meta-analyses, and where effect estimates were reported for factors included in at least three studies. RESULTS: Fifty-four studies, including 505 584 women globally who smoked before pregnancy, 15 clinical trials and 40 observational studies, were included in the review and 36 (65.5%) were considered to be of high quality. This review identified 11 socio-demographic, seven socially related, 19 smoking behaviour-related, five pregnancy-related, six health-related and six psychological factors that were associated significantly with smoking cessation during pregnancy. The most frequently observed significant factors associated with cessation were: higher level of education, pooled odds ratio (OR), 95% confidence interval (CI) = 2.16 (1.80-2.84), higher socio-economic status: 1.97 (1.20-3.24), overseas maternal birth: 2.00 (1.40-2.84), Medicaid coverage or private insurance: 1.54 (1.29-1.85), living with partner or married: 1.49 (1.38-1.61), partner/other members of the household do not smoke: 0.42 (0.35-0.50), lower heaviness of smoking index score: 0.45 (0.27-0.77, lower baseline cotinine level: 0.78 (0.64-0.94), low exposure to second-hand smoking: 0.45 (0.20-1.02), not consuming alcohol before and/or during pregnancy: 2.03 (1.47-2.80), primiparity: 1.85 (1.68-2.05), planned breastfeeding:1.99 (1.94-2.05), perceived adequate pre-natal care: 1.74 (1.38-2.19), no depression: 2.65 (1.62-4.30) and low stress during pregnancy: 0.58 (0.44-0.77). CONCLUSION: A wide range of socio-demographics, relationship, social, smoking-related, pregnancy-related, health and psychological factors have been found to predict smoking cessation in pregnancy.",Addiction,2017,,Muhammad Riaz; Sarah Lewis; Felix Naughton; Michael Ussher,https://doi.org/10.1111/add.14135,,https://openalex.org/W2788362198,,https://openalex.org/W2788362198,Medicine; Smoking cessation; PsycINFO; Pregnancy; Odds ratio; Meta-analysis; Confidence interval; Observational study; Demography; Scopus; Family medicine; MEDLINE; Environmental health; Internal medicine; Biology; Political science; Pathology; Sociology; Law; Genetics,review,161,doi:10 1111 add 14135,32
PubMed,31905073,Effects Of Medicaid Expansion On Postpartum Coverage And Outpatient Utilization.,"Timely postpartum care is associated with lower maternal morbidity and mortality, yet fewer than half of Medicaid beneficiaries attend a postpartum visit. Medicaid enrollees are at higher risk of postpartum disruptions in insurance because pregnancy-related Medicaid eligibility ends sixty days after delivery. We used Medicaid claims data for 2013-15 from Colorado, which expanded Medicaid under the Affordable Care Act, and Utah, which did not. We found that after expansion, new mothers in Utah experienced higher rates of Medicaid coverage loss and accessed fewer Medicaid-financed outpatient visits during the six months postpartum, relative to their counterparts in Colorado. The effects of Medicaid expansion on postpartum Medicaid enrollment and outpatient utilization were largest among women who experienced significant maternal morbidity at delivery. These findings provide evidence that expansion may promote the stability of postpartum coverage and increase the use of postpartum outpatient care in the Medicaid program.",Health affairs (Project Hope),2020,"Journal Article; Research Support, U.S. Gov't, P.H.S.",Sarah H Gordon; Benjamin D Sommers; Ira B Wilson; Amal N Trivedi,10.1377/hlthaff.2019.00547,Adult; Colorado; Eligibility Determination; Female; Health Services Accessibility; Humans; Insurance Claim Review; Insurance Coverage; Maternal Health Services; Medicaid; Middle Aged; Outpatients; Patient Acceptance of Health Care; Patient Protection and Affordable Care Act; Postpartum Period; Pregnancy; United States; Utah,https://pubmed.ncbi.nlm.nih.gov/31905073/,,,,,,doi:10 1377 hlthaff 2019 00547,34
OpenAlex,,Effects Of Medicaid Expansion On Postpartum Coverage And Outpatient Utilization,"Timely postpartum care is associated with lower maternal morbidity and mortality, yet fewer than half of Medicaid beneficiaries attend a postpartum visit. Medicaid enrollees are at higher risk of postpartum disruptions in insurance because pregnancy-related Medicaid eligibility ends sixty days after delivery. We used Medicaid claims data for 2013-15 from Colorado, which expanded Medicaid under the Affordable Care Act, and Utah, which did not. We found that after expansion, new mothers in Utah experienced higher rates of Medicaid coverage loss and accessed fewer Medicaid-financed outpatient visits during the six months postpartum, relative to their counterparts in Colorado. The effects of Medicaid expansion on postpartum Medicaid enrollment and outpatient utilization were largest among women who experienced significant maternal morbidity at delivery. These findings provide evidence that expansion may promote the stability of postpartum coverage and increase the use of postpartum outpatient care in the Medicaid program.",Health Affairs,2020,,Sarah H. Gordon; Benjamin D. Sommers; Ira B. Wilson; Amal N. Trivedi,https://doi.org/10.1377/hlthaff.2019.00547,,https://openalex.org/W2997680007,,https://openalex.org/W2997680007,Medicaid; Business; Family medicine; Medicine; Health care; Economics; Economic growth,article,92,doi:10 1377 hlthaff 2019 00547,34
PubMed,36897177,Postpartum Opioid-Related Mortality in Patients With Public Insurance.,"To assess the incidence and risk factors for postpartum opioid overdose death and describe other causes of postpartum death in individuals with opioid use disorder (OUD).; We conducted a cohort study that used health care utilization data from the Medicaid Analytic eXtract linked to the National Death Index in the United States from 2006 to 2013. All pregnant individuals with live births or stillbirths and continuous enrollment for 3 months before delivery were eligible, including 4,972,061 deliveries. A subcohort of individuals with a documented history of OUD in the 3 months before delivery was identified. We estimated the cumulative incidence of death as occurring between delivery and 1 year postpartum among all individuals and individuals with OUD. Risk factors for opioid overdose death were assessed using odds ratios (ORs) and descriptive statistics, including demographics, health care utilization, obstetric conditions, comorbidities, and medications.; The incidence of postpartum opioid overdose death per 100,000 deliveries was 5.4 (95% CI 4.5-6.4) among all individuals and 118 (95% CI 84-163) among individuals with OUD. Individuals with OUD had a sixfold higher incidence of all-cause postpartum death than all individuals. Common causes of death in individuals with OUD were other drug- and alcohol-related deaths (47/100,000), suicide (26/100,000), and other injuries, including accidents and falls (33/100,000). Risk factors strongly associated with postpartum opioid overdose death included mental health and other substance use disorders. Among patients with OUD, postpartum use of medication to treat OUD was associated with 60% lower odds of opioid overdose death (OR 0.4, 95% CI 0.1-0.9).; Postpartum individuals with OUD have a high incidence of postpartum opioid overdose death and other preventable deaths, including nonopioid substance-related injuries, accidents, and suicide. Use of medications for OUD is strongly associated with lower opioid-related mortality.",Obstetrics and gynecology,2023,"Journal Article; Research Support, N.I.H., Extramural",Elizabeth A Suarez; Krista F Huybrechts; Loreen Straub; Sonia Hernández-Díaz; Andreea A Creanga; Hilary S Connery; Kathryn J Gray; Seanna M Vine; Hendrée E Jones; Brian T Bateman,10.1097/AOG.0000000000005115,"Pregnancy; Female; Humans; United States; Analgesics, Opioid; Opiate Overdose; Cohort Studies; Opioid-Related Disorders; Postpartum Period; Insurance; Drug Overdose",https://pubmed.ncbi.nlm.nih.gov/36897177/,,,,,,doi:10 1097 aog 0000000000005115,44
OpenAlex,,Postpartum Opioid-Related Mortality in Patients With Public Insurance,"OBJECTIVE: To assess the incidence and risk factors for postpartum opioid overdose death and describe other causes of postpartum death in individuals with opioid use disorder (OUD). METHODS: We conducted a cohort study that used health care utilization data from the Medicaid Analytic eXtract linked to the National Death Index in the United States from 2006 to 2013. All pregnant individuals with live births or stillbirths and continuous enrollment for 3 months before delivery were eligible, including 4,972,061 deliveries. A subcohort of individuals with a documented history of OUD in the 3 months before delivery was identified. We estimated the cumulative incidence of death as occurring between delivery and 1 year postpartum among all individuals and individuals with OUD. Risk factors for opioid overdose death were assessed using odds ratios (ORs) and descriptive statistics, including demographics, health care utilization, obstetric conditions, comorbidities, and medications. RESULTS: The incidence of postpartum opioid overdose death per 100,000 deliveries was 5.4 (95% CI 4.5-6.4) among all individuals and 118 (95% CI 84-163) among individuals with OUD. Individuals with OUD had a sixfold higher incidence of all-cause postpartum death than all individuals. Common causes of death in individuals with OUD were other drug- and alcohol-related deaths (47/100,000), suicide (26/100,000), and other injuries, including accidents and falls (33/100,000). Risk factors strongly associated with postpartum opioid overdose death included mental health and other substance use disorders. Among patients with OUD, postpartum use of medication to treat OUD was associated with 60% lower odds of opioid overdose death (OR 0.4, 95% CI 0.1-0.9). CONCLUSION: Postpartum individuals with OUD have a high incidence of postpartum opioid overdose death and other preventable deaths, including nonopioid substance-related injuries, accidents, and suicide. Use of medications for OUD is strongly associated with lower opioid-related mortality.",Obstetrics and Gynecology,2023,,Elizabeth A. Suarez; Krista F. Huybrechts; Loreen Straub; Sonia Hernández–Dı́az; Andreea A. Creanga; Hilary S. Connery; Kathryn J. Gray; Seanna Vine; Hendrée E. Jones; Brian T. Bateman,https://doi.org/10.1097/aog.0000000000005115,,https://openalex.org/W4323811404,,https://openalex.org/W4323811404,Medicine; Opioid use disorder; Maternal death; Postpartum period; Incidence (geometry); National Death Index; Opioid overdose; Cause of death; Cohort; Drug overdose; Opioid; Obstetrics; Pregnancy; Emergency medicine; Population; Poison control; Environmental health; (+)-Naloxone; Hazard ratio; Disease; Internal medicine; Confidence interval; Receptor; Genetics; Physics; Optics; Biology,article,26,doi:10 1097 aog 0000000000005115,44
